,nombre,anterior,ultimo,%Dif,max,min,fecha,hora,%Dif.Año 2019
53,BCN GLOBAL 100 (Base 1986),"720,97","718,72","-0,31","722,89","715,69",22/10/2019,17:38:00,"7,23"
54,BCN GLOBAL 100 (Base 1963),"1.853,01","1.847,24","-0,31","1.857,96","1.839,45",22/10/2019,17:38:00,"7,23"
55,BCN MID 50,"21.922,00","21.847,77","-0,34","21.979,69","21.819,29",22/10/2019,17:38:01,"8,07"
56,BCN PROFIT-30,"13.106,74","13.071,01","-0,27","13.139,85","13.013,23",22/10/2019,17:38:01,"2,39"
57,BCN ROE-30,"20.146,48","20.101,65","-0,22","20.180,93","20.024,60",22/10/2019,17:38:01,"2,32"
58,BCN PER-30,"21.094,97","20.992,66","-0,48","21.158,00","20.898,14",22/10/2019,17:38:01,"-0,40"
59,BCN INDEXCAT,"21.957,30","21.772,69","-0,84","21.955,37","21.723,91",22/10/2019,17:38:01,"17,97"
60,BCN TOP EURO,"1.096,46","1.093,93","-0,23","1.098,15","1.089,65",22/10/2019,17:38:01,"9,39"
61,BCN TOP 5,"1.113,25","1.113,66","0,04","1.116,39","1.107,38",22/10/2019,17:38:01,"11,37"
62,BILBAO,"1.449,10","1.445,63","-0,24","1.451,29","1.440,41",22/10/2019,17:38:00,"8,69"
63,VALENCIA,"1.245,83","1.244,57","-0,10","1.249,61","1.239,17",22/10/2019,17:38:00,"11,26"
64,Índice TEF Apalancado X3,"2.463,80","2.516,90","2,16","2.519,00","2.451,30",22/10/2019,17:38:01,"-8,38"
65,Índice SAN Apalancado X3,"2.274,80","2.273,90","-0,04","2.329,80","2.220,60",22/10/2019,17:38:01,"-8,29"
66,Índice BBVA Apalancado X3,"1.382,80","1.378,50","-0,31","1.405,70","1.320,00",22/10/2019,17:38:00,"13,28"
67,Índice ITX Apalancado X3,"5.923,50","5.780,10","-2,42","5.935,90","5.717,80",22/10/2019,17:38:01,"87,78"
68,Índice TEF Apalancado X5,"61,40","63,60","3,58","63,70","60,90",22/10/2019,17:38:01,"-23,47"
69,Índice SAN Apalancado X5,"388,70","388,40","-0,08","404,40","373,30",22/10/2019,17:38:01,"-32,65"
70,Índice BBVA Apalancado X5,"48,00","47,80","-0,42","49,30","44,40",22/10/2019,17:38:00,"-6,09"
71,Índice ITX Apalancado X5,"1.522,10","1.460,70","-4,03","1.527,40","1.434,00",22/10/2019,17:38:01,"135,90"
72,Índice TEF Inverso X3,"2.827,10","2.764,70","-2,21","2.840,00","2.762,30",22/10/2019,17:38:01,"-25,23"
73,Índice SAN Inverso X3,"567,50","567,40","-0,02","580,70","553,50",22/10/2019,17:38:01,"-41,21"
74,Índice BBVA Inverso X3,"1.444,80","1.448,50","0,26","1.509,60","1.420,20",22/10/2019,17:38:00,"-53,88"
75,Índice ITX Inverso X3,"1.651,20","1.690,30","2,37","1.707,70","1.646,90",22/10/2019,17:38:01,"-67,72"
76,Índice TEF Inverso X5,"408,80","393,80","-3,67","411,90","393,20",22/10/2019,17:38:01,"-45,18"
77,Índice SAN Inverso X5,"12,90","12,90","0,00","13,40","12,40",22/10/2019,17:38:01,"-68,38"
78,Índice BBVA Inverso X5,"73,70","74,00","0,41","79,20","71,60",22/10/2019,17:38:00,"-79,03"
79,Índice ITX Inverso X5,"186,90","194,30","3,96","197,60","186,10",22/10/2019,17:38:01,"-87,50"
